TFBGA240_ball,TFBGA240_note,pin_name,pin_type,io_structure,notes,alternate_functions,additional_functions,LQFP100,TFBGA100,LQFP144,UFBGA169,UFBGA176+25,LQFP176,LQFP208,TFBGA240+25_raw,ds_page
P12,,PB11,I/O,FT_f,-,"TIM2_CH4, HRTIM_SCIN, LPTIM2_ETR, I2C2_SDA, DFSDM1_CKIN7, USART3_RX, OTG_HS_ULPI_D4, ETH_MII_TX_EN/ETH_R MII_TX_EN, LCD_G5, EVENTOUT",-,47,K7,70,M9,R13,80,91,P12,73
U11,,VCAP,S,-,-,-,-,48,F8,71,N10,M10,81,92,U11,73
-,,VSS,S,-,-,-,-,49,E4,-,-,K7,-,93,-,73
U12,,VDDLDO (6),S,-,-,-,-,-,-,-,M10,-,-,-,U12,73
L13,,VDD,S,-,-,-,-,50,-,72,-,N10,82,94,L13,73
R12,,PJ5,I/O,FT,-,"LCD_R6, EVENTOUT",-,-,-,-,-,-,-,95,R12,73
T11,,PH6,I/O,FT,-,"TIM12_CH1, I2C2_SMBA, SPI5_SCK, ETH_MII_RXD2, FMC_SDNE1, DCMI_D8, EVENTOUT",-,-,-,-,-,M11,83,96,T11,73
U13,,PH7,I/O,FT_fa,-,"I2C3_SCL, SPI5_MISO, ETH_MII_RXD3, FMC_SDCKE1, DCMI_D9, EVENTOUT",-,-,-,-,-,N12,84,97,U13,74
T13,,PH8,I/O,FT_fh a,-,"TIM5_ETR, I2C3_SDA, FMC_D16, DCMI_HSYNC, LCD_R2, EVENTOUT",-,-,-,-,-,M12,85,98,T13,74
-,,VSS,S,-,-,-,-,-,-,-,-,F8,-,-,-,74
M13,,VDD,S,-,-,-,-,-,-,-,L13,-,-,-,M13,74
R13,,PH9,I/O,FT_h,-,"TIM12_CH2, I2C3_SMBA, FMC_D17, DCMI_D0, LCD_R3, EVENTOUT",-,-,-,-,-,M13,86,99,R13,74
P13,,PH10,I/O,FT_h,-,"TIM5_CH1, I2C4_SMBA, FMC_D18, DCMI_D1, LCD_R4, EVENTOUT",-,-,-,-,K9,L13,87,100,P13,74
P14,,PH11,I/O,FT_fh,-,"TIM5_CH2, I2C4_SCL, FMC_D19, DCMI_D2, LCD_R5, EVENTOUT",-,-,-,-,L10,L12,88,101,P14,74
R14,,PH12,I/O,FT_fh,-,"TIM5_CH3, I2C4_SDA, FMC_D20, DCMI_D3, LCD_R6, EVENTOUT",-,-,-,-,K10,K12,89,102,R14,74
N16,,VSS,S,-,-,-,-,-,-,-,-,H12,90,-,N16,74
P17,,VDD,S,-,-,-,-,-,-,-,N11,J12,91,103,P17,74
T14,,PB12(7),I/O,FT_u,-,"TIM1_BKIN, I2C2_SMBA, SPI2_NSS/I2S2_WS, DFSDM1_DATIN1, USART3_CK, FDCAN2_RX, OTG_HS_ULPI_D5, ETH_MII_TXD0/ETH_RM II_TXD0, OTG_HS_ID, TIM1_BKIN_COMP12, UART5_RX, EVENTOUT",-,51,K8,73,N12,P12,92,104,T14,74
U14,,PB13(7),I/O,FT_u,-,"TIM1_CH1N, LPTIM2_OUT, SPI2_SCK/I2S2_CK, DFSDM1_CKIN1, USART3_CTS/USART3_ NSS, FDCAN2_TX, OTG_HS_ULPI_D6, ETH_MII_TXD1/ETH_RM II_TXD1, UART5_TX, EVENTOUT",OTG_HS_VBU S,52,J8,74,L11,P13,93,105,U14,75
U15,,PB14,I/O,FT_u,-,"TIM1_CH2N, TIM12_CH1, TIM8_CH2N, USART1_TX, SPI2_MISO/I2S2_SDI, DFSDM1_DATIN2, USART3_RTS/USART3_ DE, UART4_RTS/UART4_DE , SDMMC2_D0, OTG_HS_DM, EVENTOUT",-,53,H10,75,N13,R14,94,106,U15,75
T15,,PB15,I/O,FT_u,-,"RTC_REFIN, TIM1_CH3N, TIM12_CH2, TIM8_CH3N, USART1_RX, SPI2_MOSI/I2S2_SDO, DFSDM1_CKIN2, UART4_CTS, SDMMC2_D1, OTG_HS_DP, EVENTOUT",-,54,G10,76,M13,R15,95,107,T15,75
U16,,PD8,I/O,FT_h,-,"DFSDM1_CKIN3, SAI3_SCK_B, USART3_TX, SPDIFRX1_IN2, FMC_D13/FMC_DA13, EVENTOUT",-,55,K9,77,M12,P15,96,108,U16,75
T17,,PD9,I/O,FT_h,-,"DFSDM1_DATIN3, SAI3_SD_B, USART3_RX, FMC_D14/FMC_DA14, EVENTOUT",-,56,J9,78,K11,P14,97,109,T17,75
T16,,PD10,I/O,FT_h,-,"DFSDM1_CKOUT, SAI3_FS_B, USART3_CK, FMC_D15/FMC_DA15, LCD_B3, EVENTOUT",-,57,H9,79,K12,N15,98,110,T16,76
N12,,VDD,S,-,-,-,-,-,-,-,N7,-,-,-,N12,76
U17,,VSS,S,-,-,-,-,-,-,-,-,F9,-,-,U17,76
R15,,PD11,I/O,FT_h,-,"LPTIM2_IN2, I2C4_SMBA, USART3_CTS/USART3_ NSS, QUADSPI_BK1_IO0, SAI2_SD_A, FMC_A16, EVENTOUT",-,58,G9,80,J10,N14,99,111,R15,76
R16,,PD12,I/O,FT_fh,-,"LPTIM1_IN1, TIM4_CH1, LPTIM2_IN1, I2C4_SCL, USART3_RTS/USART3_ DE, QUADSPI_BK1_IO1, SAI2_FS_A, FMC_A17, EVENTOUT",-,59,K10,81,K13,N13,100,112,R16,76
