TFBGA240_ball,TFBGA240_note,pin_name,pin_type,io_structure,notes,alternate_functions,additional_functions,LQFP100,TFBGA100,LQFP144,UFBGA169,UFBGA176+25,LQFP176,LQFP208,TFBGA240+25_raw,ds_page
D9,,PG13,I/O,FT_h,-,"TRACED0, LPTIM1_OUT, HRTIM_EEV10, SPI6_SCK, USART6_CTS/USART6_ NSS, ETH_MII_TXD0/ETH_RM II_TXD0, FMC_A24, LCD_R0, EVENTOUT",-,-,-,128,D7,A8,156,182,D9,84
D8,,PG14,I/O,FT_h,-,"TRACED1, LPTIM1_ETR, SPI6_MOSI, USART6_TX, QUADSPI_BK2_IO3, ETH_MII_TXD1/ETH_RM II_TXD1, FMC_A25, LCD_B0, EVENTOUT",-,-,-,129,C7,A7,157,183,D8,85
-,,VSS,S,-,-,-,-,-,-,130,-,D7,158,184,-,85
-,,VDD,S,-,-,-,-,-,-,131,-,C7,159,185,-,85
C8,,PK3,I/O,FT,-,"LCD_B4, EVENTOUT",-,-,-,-,-,-,-,186,C8,85
B8,,PK4,I/O,FT,-,"LCD_B5, EVENTOUT",-,-,-,-,-,-,-,187,B8,85
A8,,PK5,I/O,FT,-,"LCD_B6, EVENTOUT",-,-,-,-,-,-,-,188,A8,85
C7,,PK6,I/O,FT,-,"LCD_B7, EVENTOUT",-,-,-,-,-,-,-,189,C7,85
D7,,PK7,I/O,FT,-,"LCD_DE, EVENTOUT",-,-,-,-,-,-,-,190,D7,85
-,,VSS,S,-,-,-,-,-,-,-,-,H7,-,-,-,85
D6,,PG15,I/O,FT_h,-,"USART6_CTS/USART6_ NSS, FMC_SDNCAS, DCMI_D13, EVENTOUT",-,-,-,132,E7,B7,160,191,D6,85
C6,,PB3(JTDO /TRACES WO),I/O,FT,-,"JTDO/TRACESWO, TIM2_CH2, HRTIM_FLT4, SPI1_SCK/I2S1_CK, SPI3_SCK/I2S3_CK, SPI6_SCK, SDMMC2_D2, CRS_SYNC, UART7_RX, EVENTOUT",-,89,A7,133,F7,A10,161,192,C6,85
B7,,PB4(NJTR ST),I/O,FT,-,"NJTRST, TIM16_BKIN, TIM3_CH1, HRTIM_EEV6, SPI1_MISO/I2S1_SDI, SPI3_MISO/I2S3_SDI, SPI2_NSS/I2S2_WS, SPI6_MISO, SDMMC2_D3, UART7_TX, EVENTOUT",-,90,A6,134,B6,A9,162,193,B7,85
A5,,PB5,I/O,FT,-,"TIM17_BKIN, TIM3_CH2, HRTIM_EEV7, I2C1_SMBA, SPI1_MOSI/I2S1_SDO, I2C4_SMBA, SPI3_MOSI/I2S3_SDO, SPI6_MOSI, FDCAN2_RX, OTG_HS_ULPI_D7, ETH_PPS_OUT, FMC_SDCKE1, DCMI_D10, UART5_RX, EVENTOUT",-,91,C5,135,C6,A6,163,194,A5,86
-,,VSS,S,-,-,-,-,-,-,-,-,H8,-,-,-,86
B5,,PB6,I/O,FT_f,-,"TIM16_CH1N, TIM4_CH1, HRTIM_EEV8, I2C1_SCL, CEC, I2C4_SCL, USART1_TX, LPUART1_TX, FDCAN2_TX, QUADSPI_BK1_NCS, DFSDM1_DATIN5, FMC_SDNE1, DCMI_D5, UART5_TX, EVENTOUT",-,92,B5,136,A5,B6,164,195,B5,86
C5,,PB7,I/O,FT_fa,-,"TIM17_CH1N, TIM4_CH2, HRTIM_EEV9, I2C1_SDA, I2C4_SDA, USART1_RX, LPUART1_RX, DFSDM1_CKIN5, FMC_NL, DCMI_VSYNC, EVENTOUT",PVD_IN,93,A5,137,D6,B5,165,196,C5,86
E8,,BOOT0,I,B,-,-,VPP,94,D5,138,E6,D6,166,197,E8,86
D5,,PB8,I/O,FT_fh,-,"TIM16_CH1, TIM4_CH3, DFSDM1_CKIN7, I2C1_SCL, I2C4_SCL, SDMMC1_CKIN, UART4_RX, FDCAN1_RX, SDMMC2_D4, ETH_MII_TXD3, SDMMC1_D4, DCMI_D6, LCD_B6, EVENTOUT",-,95,B4,139,B5,A5,167,198,D5,86
D4,,PB9,I/O,FT_fh,-,"TIM17_CH1, TIM4_CH4, DFSDM1_DATIN7, I2C1_SDA, SPI2_NSS/I2S2_WS, I2C4_SDA, SDMMC1_CDIR, UART4_TX, FDCAN1_TX, SDMMC2_D5, I2C4_SMBA, SDMMC1_D5, DCMI_D7, LCD_B7, EVENTOUT",-,96,A4,140,C5,B4,168,199,D4,87
C4,,PE0,I/O,FT_h,-,"LPTIM1_ETR, TIM4_ETR, HRTIM_SCIN, LPTIM2_ETR, UART8_RX, SAI2_MCLK_A, FMC_NBL0, DCMI_D2, EVENTOUT",-,97,D4,141,D5,A4,169,200,C4,87
B4,,PE1,I/O,FT_h,-,"LPTIM1_IN2, HRTIM_SCOUT, UART8_TX, FMC_NBL1, DCMI_D3, EVENTOUT",-,98,C4,142,D4,A3,170,201,B4,87
A7,,VCAP,S,-,-,-,-,-,-,-,-,-,-,-,A7,87
-,,VSS,S,-,-,-,-,99,-,-,-,D5,-,202,-,87
E7,,PDR_ON,I,FT,-,-,-,-,F7,143,C4,C6,171,203,E7,87
A6,,VDDLDO(6 ),S,-,-,-,-,-,F4,-,B4,-,-,-,A6,87
-,,VDD,S,-,-,-,-,100,-,144,-,C5,172,204,-,87
A4,,PI4,I/O,FT_h,-,"TIM8_BKIN, SAI2_MCLK_A, TIM8_BKIN_COMP12, FMC_NBL2, DCMI_D5, LCD_B4, EVENTOUT",-,-,-,-,-,D4,173,205,A4,87
A3,,PI5,I/O,FT_h,-,"TIM8_CH1, SAI2_SCK_A, FMC_NBL3, DCMI_VSYNC, LCD_B5, EVENTOUT",-,-,-,-,-,C4,174,206,A3,87
A2,,PI6,I/O,FT_h,-,"TIM8_CH2, SAI2_SD_A, FMC_D28, DCMI_D6, LCD_B6, EVENTOUT",-,-,-,-,A4,C3,175,207,A2,87
B3,,PI7,I/O,FT_h,-,"TIM8_CH3, SAI2_FS_A, FMC_D29, DCMI_D7, LCD_B7, EVENTOUT",-,-,-,-,E2,C2,176,208,B3,88
-,,VSS,S,-,-,-,-,-,-,-,-,H9,-,-,-,88
-,,VSS,S,-,-,-,-,-,-,-,-,K9,-,-,-,88
M15,,VSS,S,-,-,-,-,-,-,-,-,K10,-,-,M15,88
