pin,TFBGA240_ball,TFBGA240_note,io_structure,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,additional_functions,ds_page
PH13,D16,,FT_h,,,,TIM8_CH1N,,,,,UART4_TX,FDCAN1_TX,,,FMC_D21,,LCD_G2,EVENTOUT,-,98
PH14,B17,,FT_h,,,,TIM8_CH2N,,,,,UART4_RX,FDCAN1_RX,,,FMC_D22,DCMI_D4,LCD_G3,EVENTOUT,-,98
PH15,B16,,FT_h,,,,TIM8_CH3N,,,,,,,,,FMC_D23,DCMI_D11,LCD_G4,EVENTOUT,-,98
PI0,A16,,FT_h,,,TIM5_CH4,,,SPI2_NSS/I2S2_WS,,,,,,,FMC_D24,DCMI_D13,LCD_G5,EVENTOUT,-,98
PI1,A15,,FT_h,,,,TIM8_BKIN2,,SPI2_SCK/I2S2_CK,,,,,,TIM8_BKIN2_COMP12,FMC_D25,DCMI_D8,LCD_G6,EVENTOUT,-,98
PI2,B15,,FT_h,,,,TIM8_CH4,,SPI2_MISO/I2S2_SDI,,,,,,,FMC_D26,DCMI_D9,LCD_G7,EVENTOUT,-,98
PI3,C14,,FT_h,,,,TIM8_ETR,,SPI2_MOSI/I2S2_SDO,,,,,,,FMC_D27,DCMI_D10,,EVENTOUT,-,98
PI4,A4,,FT_h,,,,TIM8_BKIN,,,,,,,SAI2_MCLK_A,TIM8_BKIN_COMP12,FMC_NBL2,DCMI_D5,LCD_B4,EVENTOUT,-,98
PI5,A3,,FT_h,,,,TIM8_CH1,,,,,,,SAI2_SCK_A,,FMC_NBL3,DCMI_VSYNC,LCD_B5,EVENTOUT,-,98
PI6,A2,,FT_h,,,,TIM8_CH2,,,,,,,SAI2_SD_A,,FMC_D28,DCMI_D6,LCD_B6,EVENTOUT,-,98
PI7,B3,,FT_h,,,,TIM8_CH3,,,,,,,SAI2_FS_A,,FMC_D29,DCMI_D7,LCD_B7,EVENTOUT,-,98
PI8,E4,,FT,,,,,,,,,,,,,,,,EVENTOUT,RTC_TAMP2/W KUP3,98
PI9,E2,,FT_h,,,,,,,,,UART4_RX,FDCAN1_RX,,,FMC_D30,,LCD_VSYNC,EVENTOUT,-,99
PI10,F3,,FT_h,,,,,,,,,,,,ETH_MII_RX_ER,FMC_D31,,LCD_HSYNC,EVENTOUT,-,99
PI11,F4,,FT,,,,,,,,,,LCD_G6,OTG_HS_ULPI_DIR,,,,,EVENTOUT,WKUP5,99
PI12,H1,,FT,,,,,,,,,,,,ETH_TX_ER,,,LCD_HSYNC,EVENTOUT,-,99
PI13,H2,,FT,,,,,,,,,,,,,,,LCD_VSYNC,EVENTOUT,-,99
PI14,H3,,FT_h,,,,,,,,,,,,,,,LCD_CLK,EVENTOUT,-,99
PI15,P5,,FT,,,,,,,,,,LCD_G2,,,,,LCD_R0,EVENTOUT,-,99
PJ0,N6,,FT,,,,,,,,,,LCD_R7,,,,,LCD_R1,EVENTOUT,-,99
PJ1,P6,,FT,,,,,,,,,,,,,,,LCD_R2,EVENTOUT,-,99
PJ2,T6,,FT,,,,,,,,,,,,,,,LCD_R3,EVENTOUT,-,99
PJ3,U6,,FT,,,,,,,,,,,,,,,LCD_R4,EVENTOUT,-,99
PJ4,U7,,FT,,,,,,,,,,,,,,,LCD_R5,EVENTOUT,-,99
PJ5,R12,,FT,,,,,,,,,,,,,,,LCD_R6,EVENTOUT,-,99
PJ6,N15,,FT,,,,TIM8_CH2,,,,,,,,,,,LCD_R7,EVENTOUT,-,99
PJ7,N14,,FT,TRGIN,,,TIM8_CH2N,,,,,,,,,,,LCD_G0,EVENTOUT,-,99
PJ8,N13,,FT,,TIM1_CH3N,,TIM8_CH1,,,,,UART8_TX,,,,,,LCD_G1,EVENTOUT,-,99
PJ9,M14,,FT,,TIM1_CH3,,TIM8_CH1N,,,,,UART8_RX,,,,,,LCD_G2,EVENTOUT,-,100
PJ10,L14,,FT,,TIM1_CH2N,,TIM8_CH2,,SPI5_MOSI,,,,,,,,,LCD_G3,EVENTOUT,-,100
PJ11,K14,,FT,,TIM1_CH2,,TIM8_CH2N,,SPI5_MISO,,,,,,,,,LCD_G4,EVENTOUT,-,100
PJ12,D11,,FT,TRGOUT,,,,,,,,,LCD_G3,,,,,LCD_B0,EVENTOUT,-,100
PJ13,E10,,FT,,,,,,,,,,LCD_B4,,,,,LCD_B1,EVENTOUT,-,100
PJ14,D10,,FT,,,,,,,,,,,,,,,LCD_B2,EVENTOUT,-,100
PJ15,B10,,FT,,,,,,,,,,,,,,,LCD_B3,EVENTOUT,-,100
PK0,J14,,FT,,TIM1_CH1N,,TIM8_CH3,,SPI5_SCK,,,,,,,,,LCD_G5,EVENTOUT,-,100
PK1,J15,,FT,,TIM1_CH1,,TIM8_CH3N,,SPI5_NSS,,,,,,,,,LCD_G6,EVENTOUT,-,100
PK2,H17,,FT,,TIM1_BKIN,,TIM8_BKIN,,,,,,,TIM8_BKIN_COMP12,TIM1_BKIN_COMP12,,,LCD_G7,EVENTOUT,-,100
PK3,C8,,FT,,,,,,,,,,,,,,,LCD_B4,EVENTOUT,-,100
PK4,B8,,FT,,,,,,,,,,,,,,,LCD_B5,EVENTOUT,-,100
PK5,A8,,FT,,,,,,,,,,,,,,,LCD_B6,EVENTOUT,-,100
PK6,C7,,FT,,,,,,,,,,,,,,,LCD_B7,EVENTOUT,-,100
PK7,D7,,FT,,,,,,,,,,,,,,,LCD_DE,EVENTOUT,-,100
